8110R,Math
8110Z,Science
8114C,Technology
8192D,Research
8229A,Engineering
8261A,Arts
8283A,Math
8301D,Science
8304H,Technology
8304P,Research
8387A,Engineering
8451A,Arts
8452A,Math
8555F,Science
8555G,Technology
8568F,Research
8591J,Engineering
8639C,Arts
8655V,Math
8675A,Science
8691E,Technology
8757D,Research
8787,Engineering
8787D,Arts
8800,Math
8825S,Science
8828B,Technology
8832A,Research
8876E,Engineering
8892B,Arts
8926,Math
8926B,Science
8931A,Technology
8931G,Research
9020A,Engineering
9031C,Arts
9056A,Math
9060A,Science
9064A,Technology
9065C,Research
9065P,Engineering
9080H,Arts
9090A,Math
9090C,Science
9150B,Technology
9185A,Research
9225A,Engineering
9225B,Arts
9225C,Math
9280A,Science
9282A,Technology
9343A,Research
9364,Engineering
9364C,Arts
9409A,Math
9421X,Science
9447A,Technology
9457B,Research
9498A,Engineering
9545B,Arts
9553E,Math
9580A,Science
9605A,Technology
9623A,Research
9727A,Engineering
9727B,Arts
9784B,Math
9784C,Science
9920A,Technology
9922C,Research
9932E,Engineering
9932F,Arts
9973A,Math
10101F,Science
10101R,Technology
10300,Research
13412W,Engineering
14852A,Arts
16666A,Math
16666B,Science
16666E,Technology
22000A,Research
22699A,Engineering
25000K,Arts
25567,Math
29601R,Science
32017A,Technology
33011X,Research
34000Z,Engineering
35598A,Arts
35960A,Math
37073A,Science
37830F,Technology
46304E,Research
46304F,Engineering
46304G,Arts
46304M,Math
46304W,Science
47243A,Technology
47243B,Research
50000,Engineering
51140B,Arts
53437A,Math
54949A,Science
55466A,Technology
56777A,Research
58270A,Engineering
59990Z,Arts
70381B,Math
76435B,Science
81960B,Technology
84025A,Research
86868,Engineering
88634D,Arts
88666D,Math
88666X,Science
88809A,Technology
93063A,Research
96671B,Engineering
97140,Arts
97166,Math
97673R,Science
97871A,Technology
97887A,Research
97917A,Engineering
97934V,Arts
98319A,Math
98472B,Science
98536A,Technology
98583A,Research
98725B,Engineering
98807C,Arts
98871A,Math
98898,Science
99000B,Technology
99371A,Research
99451C,Engineering
99484,Arts
99484B,Math
99588A,Science
99679P,Technology
99691A,Research
56E,Spirit
60Z,Opportunity
80J,Spirit
80S,Opportunity
103D,Spirit
169D,Opportunity
183A,Spirit
279A,Opportunity
315Y,Spirit
394,Opportunity
394B,Spirit
400A,Opportunity
409A,Spirit
457B,Opportunity
549C,Spirit
578C,Opportunity
815J,Spirit
918C,Opportunity
952B,Spirit
974Z,Opportunity
985C,Spirit
1028H,Opportunity
1028J,Spirit
1028X,Opportunity
1231A,Spirit
1231D,Opportunity
1231E,Spirit
1338B,Opportunity
1375A,Spirit
1375B,Opportunity
1481B,Spirit
1535Y,Opportunity
1737K,Spirit
1981F,Opportunity
2031,Spirit
2148C,Opportunity
2177H,Spirit
2235B,Opportunity
2451A,Spirit
2533B,Opportunity
2831X,Spirit
2990G,Opportunity
3075B,Spirit
3211X,Opportunity
3547C,Spirit
3841C,Opportunity
3898A,Spirit
4004Y,Opportunity
4057A,Spirit
4318K,Opportunity
4431B,Spirit
4501A,Opportunity
4610J,Spirit
4768C,Opportunity
4810A,Spirit
4810B,Opportunity
4813E,Spirit
4815C,Opportunity
4886B,Spirit
4951H,Opportunity
5297B,Spirit
5433B,Opportunity
5509B,Spirit
5517A,Opportunity
6105C,Spirit
6142X,Opportunity
6250E,Spirit
6318A,Opportunity
6364A,Spirit
6364E,Opportunity
6380Y,Spirit
6380Z,Opportunity
6390D,Spirit
6446B,Opportunity
6724M,Spirit
6751A,Opportunity
6751D,Spirit
6842Z,Opportunity
6844D,Spirit
6986E,Opportunity
7035M,Spirit
7177A,Opportunity
7177Z,Spirit
7233B,Opportunity
7268A,Spirit
7268X,Opportunity
7404B,Spirit
7409S,Opportunity
7449B,Spirit
7756A,Opportunity
7846A,Spirit
7995A,Opportunity
8000E,Spirit
8000F,Opportunity
8025B,Spirit
8044B,Opportunity
8065A,Spirit
8065U,Opportunity
8066A,Spirit
8066B,Opportunity
8066C,Spirit
8066X,Opportunity
8068D,Spirit
8068G,Opportunity
8068X,Spirit
8192A,Opportunity
8192B,Spirit
8193A,Opportunity
8193D,Spirit
8314,Opportunity
8337A,Spirit
8388,Opportunity
8452C,Spirit
8736A,Opportunity
8739E,Spirit
8739F,Opportunity
8825A,Spirit
8838B,Opportunity
8860D,Spirit
8878D,Opportunity
9064C,Spirit
9078X,Opportunity
9290B,Spirit
9290D,Opportunity
9296B,Spirit
9364B,Opportunity
9365A,Spirit
9388A,Opportunity
9393A,Spirit
9393B,Opportunity
9698B,Spirit
9791C,Opportunity
9791H,Spirit
10001P,Opportunity
10099J,Spirit
12180B,Opportunity
16004A,Spirit
21246E,Opportunity
21246G,Spirit
23310B,Opportunity
31415P,Spirit
32160A,Opportunity
42000B,Spirit
45161A,Opportunity
53229A,Spirit
53578A,Opportunity
56334A,Spirit
59360A,Opportunity
68888C,Spirit
76435A,Opportunity
76635A,Spirit
77240A,Opportunity
86826B,Spirit
93535F,Opportunity
97056A,Spirit
97830A,Opportunity
99158F,Spirit
99220T,Opportunity
99561D,Spirit
ALBA,Design
AURA,Innovate
BLRZ,Design
BNS,Innovate
BNS2,Design
BUFF,Innovate
CMAA,Design
CSM,Innovate
CSUNB,Design
Disco1,Innovate
EFR,Design
ETAS,Innovate
IFR,Design
ITCV,Innovate
ITCV2,Design
ITP1,Innovate
ITSM3,Design
ITSM4,Innovate
MASON1,Design
MCCC,Innovate
MINES,Design
MMU5,Innovate
NYIT,Design
PRAR1,Innovate
PUJ3,Design
PVME1,Innovate
PVME3,Design
REKT1,Innovate
RUSK,Design
SCAU1,Innovate
SENA1,Design
SNNU2,Innovate
TDUR3,Design
TMAT1,Innovate
TMAT6,Design
TSM4,Innovate
UCSA,Design
UHRC0,Innovate
UKAS,Design
UPQR1,Innovate
UPTP1,Design
UTCV1,Innovate
UTEZ1,Design
UTEZ2,Innovate
UTEZ3,Design
UTEZ4,Innovate
UTGZ1,Design
UTGZ2,Innovate
UTGZ3,Design
UTNA1,Innovate
UTNA3,Design
UTXJ2,Innovate
UWM,Design
VCAT2,Innovate
VEDR1,Design
VEXLB2,Innovate
VEXLB3,Design
VEXLB6,Innovate
WPI0,Design
WPI1,Innovate
XJTU4,Design
XJTU5,Innovate
